Run,Station,CollectionDate,Depth(m),16s_18s,Min_Filter_Size,Temp(degC),Salinity,DO(%),DO(mg/L),pH,Chl(ug/L),H2O-δ18O(‰),DOC(mg/L),TDN(mg/L),NO3(μM),NH4(μM),Bacteriax108cells/L,POC(μg/L),POC-δ13C(‰),PN(μg/L),PN-δ15N(‰),chlorophyll_a_(μg/L)
SRR8832741,BPDL,6/26/12,2,16s,142 mm 3 µm polycarbonate filter,1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8832742,HU-1,8/8/11,1,16s,0.22 µm (Sterivex-GP),5.2,30.4,137,13.2,7.8,0.6,-5.1,1.34,0.08,0,0,3.65,351.3,-23.1,63.7,7.7,1.7
SRR8832744,HU-2,8/8/11,1,16s,0.22 µm (Sterivex-GP),4.8,31.6,132.5,13.8,8,0.2,-6.7,1.21,0.08,0,0,2.26,324.9,-23.7,60.2,7,0.9
SRR8832747,AN-2,8/11/13,1,16s,47 mm 3 µm polycarbonate filter,13.1,16.8,110.5,10.4,8,0,,,,,,9.28,290.1,-28.9,40.4,6.1,0.4
SRR8832748,BE-2,8/9/13,1,16s,47 mm 3 µm polycarbonate filter,7.6,26.1,105.7,10.6,8.1,0,,,,,,4.12,146.6,-26.8,29.3,10.2,0
SRR8832749,AN-3,6/24/12,2,16s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8832751,KA-K,6/23/13,2,16s,0.22 µm (Sterivex-GP),0.3,3.8,97.5,13.7,8.1,2.3,-14.6,3.06,0.16,1,1.8,8.26,502.8,-28.6,60.8,4.4,0.7
SRR8832752,JA-2,6/21/13,2,16s,0.22 µm (Sterivex-GP),3.5,1.7,92.5,12.2,8.2,2.5,-18.4,3.08,0.15,2.2,5.7,5.1,787.2,-27.5,98.6,2.7,0.2
SRR8832753,NU-A,4/15/13,2,16s,47 mm 3 µm polycarbonate filter,-2.5,41.8,81,9.4,7.4,0.6,-4.6,1.75,0.22,2.2,5,2.49,93.3,-28,12.6,2.9,0
SRR8832754,DP-1,8/13/12,1,16s,0.22 µm (Sterivex-GP),5.4,15.8,106.7,12.1,7.9,0.5,,,,,,2.73,111.5,-28.9,18.3,7.2,0.2
SRR8832755,DE-2,8/13/12,1,16s,0.22 µm (Sterivex-GP),10.7,14.6,107.7,10.9,8.1,1.5,,,,,,9.11,184.2,-29.4,31,5,0.5
SRR8832757,AN-1,8/12/12,1,16s,0.22 µm (Sterivex-GP),9.5,23.8,104.8,10.3,7.9,1.2,,,,,,23.26,207.6,-28.6,35.4,6.8,0.3
SRR8832758,JA-1,8/11/12,1,16s,0.22 µm (Sterivex-GP),8.2,21.8,106.5,10.9,7.9,0.3,,,,,,11.35,152.5,-28.7,22.2,4.8,0.2
SRR8832759,NU-2,8/10/12,1,16s,0.22 µm (Sterivex-GP),11.5,2.3,105.9,11.4,7.6,0.5,-19.8,1.52,0.1,1,0,11.42,248.2,-30.4,37.1,2.9,1.2
SRR8832766,JA-A,4/18/12,2,16s,0.22 µm (Sterivex-GP),-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8832768,KA-A,4/17/12,2,16s,0.22 µm (Sterivex-GP),-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8832769,KA-B,4/17/12,2,16s,0.22 µm (Sterivex-GP),-2.1,37.4,83.4,10,7.6,0,-3.6,1.36,0.25,4.6,4.5,7.65,79.3,-25.3,12.5,7,0
SRR8832770,NU-A,4/20/12,2,16s,0.22 µm (Sterivex-GP),-2.2,39.9,89.3,10.5,7.6,0,-3.4,1.3,0.17,2.5,1.7,4.29,82.4,-26.2,11,7,0.1
SRR8832772,JA-A,4/18/12,2,16s,47 mm 3 µm polycarbonate filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8832773,JA-A,4/18/12,2,16s,0.22 µm (Sterivex-GP),-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8832774,AN-3,6/24/12,2,16s,47 mm 3 µm polycarbonate filter,2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8832775,NU-A,4/20/12,2,16s,47 mm 3 µm polycarbonate filter,-2.2,39.9,89.3,10.5,7.6,0,-3.4,1.3,0.17,2.5,1.7,4.29,82.4,-26.2,11,7,0.1
SRR8832776,NU-A,4/20/12,2,16s,0.22 µm (Sterivex-GP),-2.2,39.9,89.3,10.5,7.6,0,-3.4,1.3,0.17,2.5,1.7,4.29,82.4,-26.2,11,7,0.1
SRR8832777,KA-K,6/23/13,2,16s,0.22 µm (Sterivex-GP),0.3,3.8,97.5,13.7,8.1,2.3,-14.6,3.06,0.16,1,1.8,8.26,502.8,-28.6,60.8,4.4,0.7
SRR8832778,JA-2,6/21/13,2,16s,0.22 µm (Sterivex-GP),3.5,1.7,92.5,12.2,8.2,2.5,-18.4,3.08,0.15,2.2,5.7,5.1,787.2,-27.5,98.6,2.7,0.2
SRR8832779,KA-2,8/10/13,1,16s,47 mm 3 µm polycarbonate filter,13.3,22.4,103.8,9.4,8.2,0,,,,,,12.82,264,-27.1,43,8.2,0.4
SRR8832780,BE-1,8/9/13,1,16s,47 mm 3 µm polycarbonate filter,7.5,26.1,106.7,10.7,8.1,0,,,,,,4.53,147,-28.1,28.8,8.5,0
SRR8832781,JA-A,4/18/12,2,16s,142 mm 0.22 µm Supor filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8832782,JA-3,8/15/12,1,16s,0.22 µm (Sterivex-GP),9.1,21.4,110.6,11.1,7.8,0.4,,,,,,17.64,299.2,-28,48.7,5.9,0.2
SRR8832783,KA-K,8/15/12,1,16s,0.22 µm (Sterivex-GP),9.4,19.7,105.3,10.6,7.8,1.4,,,,,,17.9,280.6,-28.2,34.2,4.6,0.4
SRR8832784,JA-2,6/27/12,2,16s,142 mm 0.22 µm Supor filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8832785,BPDL,8/15/12,1,16s,142 mm 0.22 µm Supor filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8832786,KA-4,6/29/12,2,16s,142 mm 0.22 µm Supor filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8832787,KA-A,4/17/12,2,16s,142 mm 0.22 µm Supor filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8832788,NU-1,8/10/12,1,16s,0.22 µm (Sterivex-GP),11.5,2.3,105.9,11.4,7.6,0.5,,,,,,8.15,195.5,-30.4,34.7,3.2,1
SRR8832789,NU-3,8/10/12,1,16s,0.22 µm (Sterivex-GP),11.6,4.8,105.4,11.1,8.3,2.2,-16.9,1.24,0.1,0.1,0,10.85,290.4,-31,53,3.2,2
SRR8832790,BE-2,8/8/12,1,16s,0.22 µm (Sterivex-GP),6.6,22.5,89.3,9.4,7.9,0.5,,,,,,3.63,92.9,-28.3,14.4,2.6,0.1
SRR8832791,TA-2,8/9/12,1,16s,0.22 µm (Sterivex-GP),11,18.4,142.9,13.8,8,0.3,,,,,,16.08,224.5,-28.8,35.5,4.8,0.6
SRR8832792,DE-2,8/13/12,1,16s,47 mm 3 µm polycarbonate filter,10.7,14.6,107.7,10.9,8.1,1.5,,,,,,9.11,184.2,-29.4,31,5,0.5
SRR8832793,DP-1,8/13/12,1,16s,47 mm 3 µm polycarbonate filter,5.4,15.8,106.7,12.1,7.9,0.5,,,,,,2.73,111.5,-28.9,18.3,7.2,0.2
SRR8832794,KA-A,4/17/12,2,16s,142 mm 3 µm polycarbonate filter,-2.4,42.1,74.2,8.6,7.3,0.8,-3.7,1.44,0.29,4,4.8,6.13,106,-24.1,15.2,6.8,0
SRR8832795,KA-4,6/29/12,2,16s,142 mm 3 µm polycarbonate filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8832798,AN-A,4/15/13,2,16s,0.22 µm (Sterivex-GP),-2,33.3,106.9,13.1,7.5,0,-3.5,1.16,0.14,5.4,0,2.57,130.4,-26.6,28.3,1.5,0.1
SRR8832799,JA-2,8/11/12,1,16s,0.22 µm (Sterivex-GP),8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8832800,AN-2,8/12/12,1,16s,0.22 µm (Sterivex-GP),8.7,21.6,105,10.6,8,0.8,,,,,,14.43,246.6,-28.9,39.9,8.2,0.6
SRR8832802,AN-A,4/15/13,2,16s,47 mm 3 µm polycarbonate filter,-2,33.3,106.9,13.1,7.5,0,-3.5,1.16,0.14,5.4,0,2.57,130.4,-26.6,28.3,1.5,0.1
SRR8832803,JA-A,4/17/13,2,16s,0.22 µm (Sterivex-GP),,,,,,,,,,,,17.32,493.9,-26.6,89.3,0.1,0
SRR8832804,NU-1,6/22/13,2,16s,0.22 µm (Sterivex-GP),4.2,0.6,85,12,7.9,1.4,-21.2,1.36,0.11,5.4,2.2,2.84,919.2,-27.5,94,2.8,0.1
SRR8832805,BE-1,8/8/12,1,16s,0.22 µm (Sterivex-GP),7,22.5,96.1,9.8,7.9,0,,,,,,4.01,93.9,-28.7,17.3,4.9,0.2
SRR8832806,TA-1,8/9/12,1,16s,0.22 µm (Sterivex-GP),10.5,13.6,133.8,13.7,7.9,2.5,-11.1,3.5,0.18,0.6,0.6,14.73,272.3,,38.9,7.9,0.4
SRR8832807,BPDL,6/26/12,2,16s,142 mm 0.22 µm Supor filter,1.6,4.5,105.8,14.4,7.4,5,-11.8,2.18,0.1,0,1,4.24,575.9,-26.4,90.6,5.5,3.7
SRR8832808,JA-2,8/11/12,1,16s,142 mm 0.22 µm Supor filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8832809,BPDL,8/15/12,1,16s,47 mm 3 µm polycarbonate filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8832810,KA-3,8/15/12,1,16s,47 mm 3 µm polycarbonate filter,9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8832811,HU-1,8/6/12,1,16s,0.22 µm (Sterivex-GP),7.3,24.2,91,9.4,7.8,0,,,,,,3.33,109.1,-28.6,16.6,6.3,0.2
SRR8832812,KA-1,8/7/12,1,16s,47 mm 3 µm polycarbonate filter,10.8,23.3,85,8.3,8,1.5,,,,,,19.79,222.3,-28.1,43,6.4,0.6
SRR8832816,BPDL,8/15/12,1,16s,142 mm 3 µm polycarbonate filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8832817,JA-2,6/27/12,2,16s,142 mm 3 µm polycarbonate filter,2.9,3.5,107.3,14.1,7.9,3.2,-14.3,2.52,0.08,0,0,4.1,464.6,-28.2,73.1,4.1,2.4
SRR8832819,BPDL,8/15/12,1,16s,0.22 µm (Sterivex-GP),-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8832820,DE-3,8/13/12,1,16s,0.22 µm (Sterivex-GP),10,14.9,108.8,11.2,8.1,0,,,,,,8.53,161.7,-29.1,26.9,5.5,0.4
SRR8832821,DE-1,8/13/12,1,16s,0.22 µm (Sterivex-GP),10.1,11.8,107,11.2,8,2,,,,,,10.6,241.8,-31.4,34.8,3.3,0.6
SRR8832822,TA-1,8/9/12,1,16s,47 mm 3 µm polycarbonate filter,10.5,13.6,133.8,13.7,7.9,2.5,-11.1,3.5,0.18,0.6,0.6,14.73,272.3,,38.9,7.9,0.4
SRR8832823,BE-1,8/8/12,1,16s,47 mm 3 µm polycarbonate filter,7,22.5,96.1,9.8,7.9,0,,,,,,4.01,93.9,-28.7,17.3,4.9,0.2
SRR8832825,HU-1,8/6/12,1,16s,47 mm 3 µm polycarbonate filter,7.3,24.2,91,9.4,7.8,0,,,,,,3.33,109.1,-28.6,16.6,6.3,0.2
SRR8832826,JA-A,4/18/12,2,16s,142 mm 3 µm polycarbonate filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8832827,AN-2,8/11/13,1,16s,0.22 µm (Sterivex-GP),13.1,16.8,110.5,10.4,8,0,,,,,,9.28,290.1,-28.9,40.4,6.1,0.4
SRR8832828,BE-1,8/9/13,1,16s,0.22 µm (Sterivex-GP),7.5,26.1,106.7,10.7,8.1,0,,,,,,4.53,147,-28.1,28.8,8.5,0
SRR8832831,DE-2,8/13/12,1,16s,0.22 µm (Sterivex-GP),10.7,14.6,107.7,10.9,8.1,1.5,,,,,,9.11,184.2,-29.4,31,5,0.5
SRR8832832,DP-1,8/13/12,1,16s,0.22 µm (Sterivex-GP),5.4,15.8,106.7,12.1,7.9,0.5,,,,,,2.73,111.5,-28.9,18.3,7.2,0.2
SRR8832835,KA-4,6/29/12,2,16s,142 mm 3 µm polycarbonate filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8832837,NU-2,8/18/11,1,16s,0.22 µm (Sterivex-GP),8.9,18.4,104.6,10.7,8,0.4,-10.1,1.12,0.09,0,0,2.44,147.2,-26.9,29.3,6.2,0.1
SRR8832840,NU-1,8/18/11,1,16s,0.22 µm (Sterivex-GP),8.8,18.9,103.1,10.6,7.9,0.9,-12.9,1.05,0.06,0,1,2.43,171.4,-27,25.9,5.9,0.1
SRR8832841,JA-2,8/7/11,1,16s,0.22 µm (Sterivex-GP),9.9,28.1,118.8,11,8,0,-5,1.27,0.08,0,0.9,3.49,228.4,-23.2,34.4,6.3,0.3
SRR8832843,AN-2,8/17/11,1,16s,0.22 µm (Sterivex-GP),7.9,28.6,107.1,10.5,7.8,0.3,-4.5,1.3,0.09,0,0,5.51,184.1,-25.3,30.4,6.8,0.3
SRR8832844,KA-3,8/15/12,1,16s,0.22 µm (Sterivex-GP),9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8832846,NU-3,8/18/11,1,16s,0.22 µm (Sterivex-GP),8.5,19.4,103.6,11.1,8,0.7,-9.2,1.12,0.1,0,0.5,4.05,140.6,-25.1,23.5,6.3,0.1
SRR8832847,JA-3,8/13/13,1,16s,0.22 µm (Sterivex-GP),11.5,21.1,101.4,9.7,8,1,,,,,,8.83,283,-28.4,40.4,5.5,0.8
SRR8832849,KA-1,8/10/13,1,16s,0.22 µm (Sterivex-GP),13.6,22.3,92.5,8.4,8.1,0,,,,,,14.21,261.2,-28.1,40.1,7.8,0.6
SRR8832851,DE-2,8/22/11,1,16s,0.22 µm (Sterivex-GP),6.9,28.8,106.5,10.7,7.9,0.4,-3.8,1.12,0.08,0,4,8.37,294.3,-22.9,55.5,7.7,0
SRR8832853,JA-3,8/7/11,1,16s,0.22 µm (Sterivex-GP),10,26.1,105.8,10.1,8.1,0.9,-6.7,1.35,0.09,0,0,4.45,398.2,-24.2,60.8,4.6,0.6
SRR8832854,DE-3,8/22/11,1,16s,0.22 µm (Sterivex-GP),7.7,28.1,104.8,10.4,7.9,0.1,-4.8,1.12,0.06,0,0.7,8.5,314.2,-23.5,52.4,6.1,0.1
SRR8832855,KA-4,6/29/12,2,16s,0.22 µm (Sterivex-GP),3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8832857,JA-1,8/13/13,1,16s,0.22 µm (Sterivex-GP),10.7,22.4,102.8,9.7,8,0.2,,,,,,8.22,238.1,-28.4,39.3,5.6,0.1
SRR8832858,AN-1,8/11/13,1,16s,0.22 µm (Sterivex-GP),14.1,17.4,110.7,10.1,8,0.2,,,,,,11.08,290.7,-28.7,47.2,8,0.2
SRR8832859,KA-2,8/10/13,1,16s,0.22 µm (Sterivex-GP),13.3,22.4,103.8,9.4,8.2,0,,,,,,12.82,264,-27.1,43,8.2,0.4
SRR8832860,BE-2,8/9/13,1,16s,0.22 µm (Sterivex-GP),7.6,26.1,105.7,10.6,8.1,0,,,,,,4.12,146.6,-26.8,29.3,10.2,0
SRR8832861,JA-3,8/13/13,1,16s,47 mm 3 µm polycarbonate filter,11.5,21.1,101.4,9.7,8,1,,,,,,8.83,283,-28.4,40.4,5.5,0.8
SRR8832863,AN-1,8/11/13,1,16s,47 mm 3 µm polycarbonate filter,14.1,17.4,110.7,10.1,8,0.2,,,,,,11.08,290.7,-28.7,47.2,8,0.2
SRR8832865,KA-4,6/29/12,2,16s,47 mm 3 µm polycarbonate filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
SRR8832868,NU-1,8/10/12,1,16s,0.22 µm (Sterivex-GP),11.5,2.3,105.9,11.4,7.6,0.5,,,,,,8.15,195.5,-30.4,34.7,3.2,1
SRR8832869,NU-3,8/10/12,1,16s,0.22 µm (Sterivex-GP),11.6,4.8,105.4,11.1,8.3,2.2,-16.9,1.24,0.1,0.1,0,10.85,290.4,-31,53,3.2,2
SRR8832873,KA-1,8/7/12,1,16s,0.22 µm (Sterivex-GP),10.8,23.3,85,8.3,8,1.5,,,,,,19.79,222.3,-28.1,43,6.4,0.6
SRR8832874,DP-2,8/13/12,1,16s,0.22 µm (Sterivex-GP),6.5,16.3,106.6,11.7,8,1.3,,,,,,3.05,135.8,-28.9,24.8,5.8,0.2
SRR8832875,KA-3,8/15/12,1,16s,0.22 µm (Sterivex-GP),9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8832878,JA-2,8/11/12,1,16s,0.22 µm (Sterivex-GP),8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8832879,KA-2,8/7/12,1,16s,0.22 µm (Sterivex-GP),11.5,23,83.4,7.9,8,2,,,,,,24.9,229.5,-28.1,40.5,7.9,0.2
SRR8832880,HU-2,8/6/12,1,16s,0.22 µm (Sterivex-GP),7.6,24.5,102.7,10.5,7.8,1,,,,,,4.91,209.9,-27.4,32.4,8.2,0.2
SRR8832881,AN-3,6/24/12,2,16s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8832882,KA-4,6/25/13,2,16s,0.22 µm (Sterivex-GP),0.7,4.3,98,13.6,8.2,3,-14.9,3.94,0.17,0.3,1.5,8.53,470.7,-29.2,57.4,4.2,0.3
SRR8832883,BPDL,4/22/12,2,16s,142 mm 3 µm polycarbonate filter,-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8832884,BE-1,8/9/13,1,16s,0.22 µm (Sterivex-GP),7.5,26.1,106.7,10.7,8.1,0,,,,,,4.53,147,-28.1,28.8,8.5,0
SRR8832885,JA-A,4/18/12,2,16s,142 mm 3 µm polycarbonate filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8832886,KA-2,8/7/12,1,16s,142 mm 3 µm polycarbonate filter,11.5,23,83.4,7.9,8,2,,,,,,24.9,229.5,-28.1,40.5,7.9,0.2
SRR8832887,NU-3,8/10/12,1,16s,47 mm 3 µm polycarbonate filter,11.6,4.8,105.4,11.1,8.3,2.2,-16.9,1.24,0.1,0.1,0,10.85,290.4,-31,53,3.2,2
SRR8832888,NU-1,8/10/12,1,16s,47 mm 3 µm polycarbonate filter,11.5,2.3,105.9,11.4,7.6,0.5,,,,,,8.15,195.5,-30.4,34.7,3.2,1
SRR8832889,AN-2,8/12/12,1,16s,47 mm 3 µm polycarbonate filter,8.7,21.6,105,10.6,8,0.8,,,,,,14.43,246.6,-28.9,39.9,8.2,0.6
SRR8832890,JA-2,8/11/12,1,16s,47 mm 3 µm polycarbonate filter,8.3,22.1,106.5,10.8,8,1.5,,,,,,9.25,145.2,-28.5,26.4,5.5,0.2
SRR8832893,KA-3,8/15/12,1,16s,0.22 µm (Sterivex-GP),9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8832894,BPDL,8/15/12,1,16s,0.22 µm (Sterivex-GP),-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8832895,AN-2,8/12/12,1,16s,0.22 µm (Sterivex-GP),8.7,21.6,105,10.6,8,0.8,,,,,,14.43,246.6,-28.9,39.9,8.2,0.6
SRR8832896,BPDL,6/24/13,2,16s,0.22 µm (Sterivex-GP),0.1,2.6,89,12.7,7.8,4.3,-9.5,3.12,0.15,0.9,2.5,7.94,541.5,-31.1,65,3.6,0.7
SRR8832898,NU-A,4/15/13,2,16s,0.22 µm (Sterivex-GP),-2.5,41.8,81,9.4,7.4,0.6,-4.6,1.75,0.22,2.2,5,2.49,93.3,-28,12.6,2.9,0
SRR8832900,KA-A,4/9/13,2,16s,47 mm 3 µm polycarbonate filter,,,,,,,-4.3,1.66,0.24,6.6,7.8,3.3,98,-25.1,21.9,6.3,0
SRR8832901,JA-A,4/13/13,2,16s,0.22 µm (Sterivex-GP),,,,,,,-3.8,1.33,0.22,1.8,0,1.21,43.9,-27.6,8,4,0
